Lexeme                              LINE NO         TOKEN NAME             VALUE IF NUM           PARENT SYMBOL          IS LEAF NODE    NODE SYMBOL           
------                              -------         -----------            ------------           -------------          -------------   ------------          
_computeFunctionValueFunction       6               TK_FUNID               -----                  function               Yes             -----                 
input                               6               TK_INPUT               -----                  input_par              Yes             -----                 
parameter                           6               TK_PARAMETER           -----                  input_par              Yes             -----                 
list                                6               TK_LIST                -----                  input_par              Yes             -----                 
[                                   6               TK_SQL                 -----                  input_par              Yes             -----                 
-----                               -----           -----                  -----                  parameter_list         No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
int                                 6               TK_INT                 -----                  primitiveDataType      Yes             -----                 
c3                                  6               TK_ID                  -----                  parameter_list         Yes             -----                 
-----                               -----           -----                  -----                  input_par              No             parameter_list        
,                                   6               TK_COMMA               -----                  remaining_list         Yes             -----                 
-----                               -----           -----                  -----                  parameter_list         No             remaining_list        
-----                               -----           -----                  -----                  parameter_list         No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
int                                 6               TK_INT                 -----                  primitiveDataType      Yes             -----                 
c4                                  6               TK_ID                  -----                  parameter_list         Yes             -----                 
-----                               -----           -----                  -----                  remaining_list         No             parameter_list        
,                                   6               TK_COMMA               -----                  remaining_list         Yes             -----                 
-----                               -----           -----                  -----                  parameter_list         No             remaining_list        
-----                               -----           -----                  -----                  parameter_list         No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
int                                 6               TK_INT                 -----                  primitiveDataType      Yes             -----                 
c5                                  6               TK_ID                  -----                  parameter_list         Yes             -----                 
-----                               -----           -----                  -----                  remaining_list         No             parameter_list        
-----                               -----           -----                  -----                  parameter_list         Yes            remaining_list        
-----                               -----           -----                  -----                  function               No             input_par             
]                                   6               TK_SQR                 -----                  input_par              Yes             -----                 
output                              7               TK_OUTPUT              -----                  output_par             Yes             -----                 
parameter                           7               TK_PARAMETER           -----                  output_par             Yes             -----                 
-----                               -----           -----                  -----                  output_par             Yes            TK_LIST               
[                                   7               TK_SQL                 -----                  output_par             Yes             -----                 
-----                               -----           -----                  -----                  parameter_list         No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
real                                7               TK_REAL                -----                  primitiveDataType      Yes             -----                 
c6                                  7               TK_ID                  -----                  parameter_list         Yes             -----                 
-----                               -----           -----                  -----                  output_par             No             parameter_list        
-----                               -----           -----                  -----                  parameter_list         Yes            remaining_list        
-----                               -----           -----                  -----                  function               No             output_par            
]                                   7               TK_SQR                 -----                  output_par             Yes             -----                 
;                                   7               TK_SEM                 -----                  function               Yes             -----                 
-----                               -----           -----                  -----                  stmts                  Yes            typeDefinitions       
type                                8               TK_TYPE                -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  declaration            No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
real                                8               TK_REAL                -----                  primitiveDataType      Yes             -----                 
:                                   8               TK_COLON               -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  declaration            Yes            TK_ID                 
-----                               -----           -----                  -----                  declaration            Yes            global_or_not         
-----                               -----           -----                  -----                  declarations           No             declaration           
;                                   8               TK_SEM                 -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  stmts                  No             declarations          
type                                9               TK_TYPE                -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  declaration            No             dataType              
-----                               -----           -----                  -----                  dataType               No             primitiveDataType     
real                                9               TK_REAL                -----                  primitiveDataType      Yes             -----                 
:                                   9               TK_COLON               -----                  declaration            Yes             -----                 
c4bbb                               9               TK_ID                  -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  declaration            Yes            global_or_not         
-----                               -----           -----                  -----                  declarations           No             declaration           
;                                   9               TK_SEM                 -----                  declaration            Yes             -----                 
-----                               -----           -----                  -----                  declarations           No             declarations          
-----                               -----           -----                  -----                  declarations           Yes            declarations          
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
c6                                  10              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
<---                                10              TK_ASSIGNOP            -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         Yes            arithmeticExpression  
-----                               -----           -----                  -----                  stmt                   No             assignmentStmt        
;                                   10              TK_SEM                 -----                  assignmentStmt         Yes             -----                 
-----                               -----           -----                  -----                  stmts                  No             otherStmts            
-----                               -----           -----                  -----                  otherStmts             No             stmt                  
d4cbcd5677                          11              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  assignmentStmt         No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
<---                                11              TK_ASSIGNOP            -----                  assignmentStmt         Yes             -----                 
(                                   11              TK_OP                  -----                  nestedExp              Yes             -----                 
(                                   11              TK_OP                  -----                  nestedExp              Yes             -----                 
-----                               -----           -----                  -----                  unit                   No             nestedExp             
-----                               -----           -----                  -----                  nestedExp              No             var                   
c3                                  11              TK_ID                  -----                  singleOrRecId          Yes             -----                 
-----                               -----           -----                  -----                  var                    No             singleOrRecId         
-----                               -----           -----                  -----                  singleOrRecId          Yes            fieldOrNot            
-----                               -----           -----                  -----                  arithmeticExpression   No             unit                  
-----                               -----           -----                  -----                  unit                   Yes            mulDivRem             
